t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49790159393.53467,-28254579.50383396,10210782530.8751,29190445.72306852,49790261791.68962,19135775804.116795,9.998960219839996e-09,-1.966529632188646e-13,-3.0156047978315205e-13,-3.47251992474134e-13,497.8517909725263,-0.2618519973037974,-0.2703759165170976,102.0782979990996,1.9277573303137106e-13,2.101142421559074e-14,3.396832903960781e-13,1.0000031889036992e-08,102.11938065911065,0.2713336217499942,0.2798589829458596,497.9006470838041,1.1410219481123392e-14,9.999926518795706e-09,9.999985069890932e-09,-4.623740687643399e-13,-0.5431029692426531,382.7334052618409,382.6942904194455,0.5387935251407479
1,0.0,49790159393.53467,-28254579.50383396,10210782530.8751,29190445.72306852,49790261791.68962,19135775804.116795,9.998960219839996e-09,-1.966529632188646e-13,-3.0156047978315205e-13,-3.47251992474134e-13,497.8517909725263,-0.2618519973037974,-0.2703759165170976,102.0782979990996,1.9277573303137106e-13,2.101142421559074e-14,3.396832903960781e-13,1.0000031889036992e-08,102.11938065911065,0.2713336217499942,0.2798589829458596,497.9006470838041,1.1410219481123392e-14,9.999926518795706e-09,9.999985069890932e-09,-4.623740687643399e-13,-0.5431029692426531,382.7334052618409,382.6942904194455,0.5387935251407479
2,0.0,49790159393.53467,-28254579.50383396,10210782530.8751,29190445.72306852,49790261791.68962,19135775804.116795,9.998960219839996e-09,-1.966529632188646e-13,-3.0156047978315205e-13,-3.47251992474134e-13,497.8517909725263,-0.2618519973037974,-0.2703759165170976,102.0782979990996,1.9277573303137106e-13,2.101142421559074e-14,3.396832903960781e-13,1.0000031889036992e-08,102.11938065911065,0.2713336217499942,0.2798589829458596,497.9006470838041,1.1410219481123392e-14,9.999926518795706e-09,9.999985069890932e-09,-4.623740687643399e-13,-0.5431029692426531,382.7334052618409,382.6942904194455,0.5387935251407479
3,0.0005,49788961959.91666,-29443781.42329572,10210309791.159578,28902980.84048677,49789760995.32639,19134781046.419872,9.998940082558936e-09,-1.6253045275917248e-13,-2.1347321441188146e-13,-4.3939404334927893e-13,497.8372179036757,-0.269079612702901,-0.2776476395389531,102.069966564704,3.640895574125952e-14,5.4756784418652e-15,3.945539703868137e-13,1.0000048049659546e-08,102.1058419284983,0.2686610447790365,0.2771790540797345,497.8955070745798,4.549030112320208e-14,9.999838966696891e-09,9.999927408865338e-09,-3.1689355887281883e-13,-0.5649446278565768,382.7107619442049,382.6715826238393,0.5405156988502136
4,0.0052,49761385209.00876,-57518453.49465669,10192970747.477398,1738858.535405101,49763611654.33011,19103705874.652832,9.999134387259972e-09,-1.420608727459735e-13,9.761768328665536e-13,-2.678092425465728e-13,497.5714514934656,-0.5239272943654281,-0.5324879682110832,101.90304193832134,6.822598272801304e-14,1.6127709330494549e-13,2.968094648933685e-13,9.999962378065e-09,101.93726912676452,0.0172855686862241,0.0258174579321356,497.6315138456847,3.962371156986277e-13,9.999922892973195e-09,1.000001052490526e-08,-6.346754557139159e-13,-1.0603377644025411,382.0923780434549,382.05322527970384,0.019059771358923
5,0.0163,49627297388.97454,-168534478.64054736,10126745828.289898,-108248009.36836895,49623927510.9704,18984916872.10181,1.0000464913812136e-08,-1.1933514628161196e-13,7.125636903774579e-14,7.232342368399482e-14,496.2976777648792,-1.5895547879555156,-1.5981328421691652,101.26663985039129,1.5785585146099662e-13,5.6397695689920737e-14,-2.360434660309734e-13,1.0000160619851862e-08,101.28607988057612,-1.0302682175702171,-1.0215695220145746,496.2479938944669,-2.0723185039082625e-13,9.99977411322696e-09,9.99857411407196e-09,-1.5423570895089937e-13,-3.1830505700235427,379.686495670896,379.64751359852426,-2.046325700918084
6,0.039,49340909223.896194,-369997254.792831,10008185069.748783,-316693326.53651094,49323434570.93748,18780287122.01288,1.0000732765470266e-08,-3.1468420508414293e-13,-5.279085611054106e-13,1.0707638309658857e-13,493.4449931295496,-3.5018656416351384,-3.509840559157014,100.0933618931749,-4.572813281745424e-14,8.097237078949599e-14,-1.7331595604698017e-13,1.0000046013735602e-08,100.08137814847731,-2.9914265043536297,-2.982187393724056,493.23772383759695,-5.832601417901574e-13,9.999319676243424e-09,9.999226408482244e-09,-1.2411811725206896e-13,-7.002637292355035,375.597551863329,375.5599664679492,-5.981674043174114
7,0.0645,49014884885.17791,-593239290.189373,9876313920.147509,-542996962.6767873,48944975430.20075,18561363726.47258,9.999876492142532e-09,-2.11901778689464e-13,-2.1712434774675492e-14,-1.3715574733478152e-13,490.1425474150299,-5.59875198184367,-5.606334440516537,98.75370540804188,-4.048002361772464e-14,-2.978817346886823e-14,7.414639465096756e-14,1.0000037604162865e-08,98.7635496614495,-5.1277032700837735,-5.118049293200736,489.4505970782458,-2.716762821702371e-13,9.99936434571242e-09,9.999608188645395e-09,-6.96617767878597e-13,-11.19192230675621,371.2266732959556,371.18994926220864,-10.2609474888306
8,0.0917,48666252926.588585,-804469791.7279036,9749565911.420029,-789727385.1461276,48534293020.22781,18341572672.52568,9.998996313564982e-09,-3.2601422839860065e-13,-3.021742840389329e-13,-1.0975539740994688e-14,486.6160807190136,-7.576027272954732,-7.583542218013388,97.48677009114458,1.563644455005893e-13,1.4649170676795622e-14,-1.167233039381414e-13,1.0000050818216549e-08,97.5032443393134,-7.458051157551865,-7.447959156224046,485.34536146401234,-1.1538629322502845e-12,1.0000241666732344e-08,1.0000147692466457e-08,-9.648042243470569e-14,-15.231023183877436,366.8570474807911,366.8212485416106,-14.893141210677188
9,0.1301,47980782953.97108,-1197652053.177906,9486234836.603294,-1194760280.85037,47843654863.43144,17986023757.446613,9.998472404866153e-09,-5.218007442205849e-13,-8.663852161721919e-13,-3.0872784980419226e-13,479.7353762243605,-11.30254225591402,-11.305807588397144,94.83924524597624,-8.331164957957703e-15,-2.182150655943149e-15,-1.0228526702642881e-13,9.999836007097531e-09,94.85543192371227,-11.278863998997476,-11.267358102810537,478.4260929481733,-8.17083779542222e-13,9.999570579685376e-09,9.999635650987676e-09,-2.833832601205877e-13,-22.629812325512923,359.7228344839651,359.6929354953855,-22.53757618923133
