t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
1,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
2,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
3,0.0,49801343754.045006,-8424156.114816362,10198885034.573706,9432977.949388716,49803480368.53777,19152650000.66017,1.000045309054277e-08,-2.0585815263234845e-13,-4.3576387056064294e-13,-1.186618358536338e-13,498.035420043781,-0.0854771818643521,-0.0954237504715272,101.9869532416004,-5.682683541008069e-14,6.5098867488216e-13,1.489549519572885e-13,9.9995655729526e-09,101.98219318307834,0.0905909464730745,0.1005346675984449,498.0119641963489,3.050312309150889e-13,9.999548926738716e-09,1.0000103333341945e-08,8.373541713962239e-13,-0.1480404910424279,383.0541675489042,383.038537473399,0.219957908224095
4,0.0002,49791181203.62201,-6634696.827029146,10200199707.5312,9045420.243219843,49803415685.17955,19151910990.700417,1.0000406636224452e-08,-2.363456387805144e-13,-4.568685708634536e-13,-1.2415328521826533e-13,497.931991116901,-0.0664008198411059,-0.0763402850500364,101.9959412858981,-6.5735060934135326e-15,5.799625806597242e-13,1.1852159737058902e-13,9.999601940086708e-09,102.0016271268407,0.0862426102078039,0.0961856589719422,498.0130721871597,1.3236612458535944e-13,9.999739468343156e-09,1.0000198148697428e-08,8.292752916409181e-13,-0.1249175984997515,383.0448526464587,383.029218953371,0.2102457984162204
5,0.0046,49646706422.33231,-5748230.037957835,10205697498.12004,10113399.21814812,49799620377.57247,19142851804.267395,9.999948648873811e-09,-3.2831884469519864e-13,-3.0716821348100575e-14,-1.3336115604474206e-14,496.462452883306,-0.0566454405144405,-0.0670988313988902,102.05474136900308,-2.019132547851605e-13,1.8360073293627481e-13,-3.534240239042725e-14,9.999874926375268e-09,102.04669103756667,0.0824842196649637,0.0924644904142118,497.9898418261477,2.356994053130914e-13,1.0000179526638681e-08,1.0000354033241453e-08,3.2404195811060695e-13,-0.0998492965924472,382.8751519488658,382.8593548177233,0.2128413625865673
6,0.0243,48521516083.032646,49892589.76734018,10170491730.956264,19952678.610401034,49757963281.17144,18986551325.65042,9.99984900827526e-09,-3.204920754365018e-13,-2.151340357481523e-13,-1.7399228311609028e-13,485.2060159442896,0.4665514591021084,0.45634239936451,101.68817477836043,-1.7959530694975721e-13,-1.2665054590920313e-13,-3.996349885246378e-13,9.999813125946591e-09,101.70086386592853,0.1630442354322644,0.1729921864384731,497.5685707586575,1.659792436703085e-13,1.0000588176287118e-08,1.0000515385723277e-08,3.328120368265545e-13,0.9403659289546812,379.7597138213727,379.74417481986666,0.3931360380377953
7,0.0544,47139306375.858925,39674448.60736244,10079976707.887625,38384492.98091177,49665427052.51218,18770009359.44577,9.999809298409336e-09,2.0951892073702014e-13,-3.9579784669872643e-13,-7.692124997817636e-14,471.3833271325501,0.3754619822902403,0.3657599281789636,100.79098503219429,-7.412872887396902e-14,6.031312129557247e-14,-3.11019749559054e-13,9.999726661190256e-09,100.79658165795972,0.3504843857981421,0.3605542560457953,496.6399365888788,2.992645976567374e-15,9.999835299074948e-09,1.0000222929648752e-08,4.669502164461727e-13,0.7459917084934119,375.4092081075276,375.3933201572028,0.7404983742243161
8,0.0885,45383368717.49186,34867955.64829329,9895991452.892128,50644628.43875443,49509797365.21316,18459956127.13544,9.999903854616078e-09,2.246330843718293e-13,-5.344725811993799e-13,1.789358615580975e-13,453.8240000874217,0.3232172159562585,0.3143576176257349,98.9655963070183,-5.388315349638173e-13,4.731825292869618e-13,-1.519305697145082e-13,1.0000122117182232e-08,98.93593435392984,0.4817467482184475,0.4918862648443975,495.1057741076423,2.587702931109346e-13,9.999859437688556e-09,9.999748285640756e-09,-3.4042544085451736e-13,0.6714757669426148,369.1998270538709,369.1839452850095,0.9394948915421806
9,0.1299,43467880827.69523,51235514.90455334,9628843406.572523,85550600.63037136,49242356931.13684,18075503112.25671,9.999949455635029e-09,-2.61815220914641e-13,2.8679544286308133e-13,2.930251488730013e-13,434.6746938733247,0.4859711867551519,0.4764600243079994,96.30086517719292,-1.9887174619441641e-13,1.3255584992466815e-14,-4.19119348067936e-13,9.999752369427534e-09,96.27607659653704,0.7890884317493743,0.7989151650832098,492.4142043152054,-4.97500248571276e-14,9.999104905388641e-09,1.0001065249453587e-08,9.310452706100848e-14,0.9647010449990396,361.5210314205044,361.50518117069294,1.619222983320052
10,0.1654,41945176024.93377,-9050473.311899954,9422760783.411043,73855933.34908685,49031689000.41972,17761752251.7,9.999981178188146e-09,-2.288323739640676e-13,-1.5917143930412289e-13,2.8740344486328053e-13,419.45068939134745,-0.0900019021535313,-0.0983890822007866,94.23537266395982,-2.976760039413823e-14,-1.9049929883661285e-13,9.186194703415464e-14,1.0000001229351542e-08,94.23027324150418,0.6878592120750109,0.6972831755617583,490.31971464397935,1.0439833000226849e-13,9.999640377878414e-09,1.0000216404638926e-08,8.051584272452412e-13,-0.1666873068007492,355.2402896787132,355.22470568198594,1.4207360965743383
11,0.2013,40452306044.05283,22406050.865639232,9213096438.16801,55059555.06167268,48735212145.098366,17418811604.50173,9.999865277147804e-09,-1.7220546621942114e-13,-7.509867855553082e-14,5.649942566118505e-15,404.517620108256,0.2126670667501031,0.1986199006961947,92.12604309367332,1.102767508800609e-15,-1.9046801155685293e-13,1.6278839082890993e-13,1.0000062086151973e-08,92.13550834114766,0.5120301982423179,0.5214609772687716,487.3552270282248,-3.0435089619066814e-14,9.999786927770884e-09,1.0000031172317713e-08,5.349145789107899e-13,0.4218980385755106,348.38001195632586,348.36610192786014,1.057397151336029
12,0.2418,38528880386.27376,51230522.54070928,8945395049.236908,67018024.91865496,48386631803.92439,17055506745.418648,1.0000350319144233e-08,-3.1045731185710213e-13,-1.3513370998803365e-13,4.877717545655887e-13,385.3029787546671,0.4845119219871312,0.4699306453248491,89.47179786697302,7.510116862749117e-14,-4.721599798023291e-13,3.746793966893635e-15,9.999969154673955e-09,89.46141601490824,0.6186604060389244,0.6276681797415192,483.8692155543718,1.1648378447811822e-13,9.999928258016252e-09,1.0000637722247886e-08,4.190578007498144e-13,0.9651479089134294,341.1271148227605,341.1123593500929,1.2734217203635465
13,0.279,36502780129.66445,-80579447.95163289,8593198190.863153,-34935335.69219618,47946028392.361885,16647052476.329617,1.0000089909115516e-08,-3.527241034786772e-13,1.6882680762994458e-13,9.562111535555969e-14,365.0309197998416,-0.7585947998780911,-0.7712723734598975,85.94169083583719,-1.4451473937441892e-14,-1.153011157924279e-13,1.1651854645004834e-13,1.000055876316174e-08,85.93064416226484,-0.3274264793342917,-0.3192974329984616,479.48790286308713,5.152838340375077e-13,9.999370111155316e-09,1.00006490606267e-08,-2.103916680903929e-13,-1.5004060249174074,332.9517246238236,332.93104056298176,-0.6725762985550101
14,0.308,35337278627.045166,-137878511.19313326,8397703453.24136,-91327663.5157194,47653201495.55455,16341592005.28386,1.0001055869346148e-08,1.0798416684446677e-13,-8.663952666582577e-14,2.2568048886568045e-13,353.40848245143906,-1.2905863760360556,-1.302583014995665,83.98372949899593,-1.8878623308994285e-13,-6.352758776456957e-13,3.721084691284952e-13,9.999401848971941e-09,83.97298216591525,-0.8761084738846057,-0.8678461405449029,476.5052998812828,2.3092526210130616e-13,1.0000013402040077e-08,1.0000515980828664e-08,1.2286415537062473e-12,-2.596665886117155,326.8509123611057,326.83010940526924,-1.677162906629953
15,0.3782,27755815850.92437,-145212652.96328345,6506430809.741658,-267459643.4922641,45711312451.23727,14981679996.982307,1.0000195108796326e-08,-1.5977501181981368e-13,2.0415907604311293e-13,-8.746156394561379e-14,277.5672975630128,-1.3604494735932349,-1.3611652107889556,65.05336308218682,5.55739413105095e-13,-5.72587042730359e-14,1.2741241280961524e-15,9.998608264312121e-09,65.09043303717124,-2.536040804707685,-2.538938621349236,457.0485443839912,-7.914003833065139e-13,9.999568697119984e-09,1.0000502743191208e-08,1.5495027848289478e-12,-2.770043807252612,299.65597268271875,299.61338375263944,-4.981403457468056
16,0.4053,24494717954.155888,-502699799.58623856,5685825066.527488,-377070525.4770495,45107665195.24215,14472996776.62918,9.999787797493218e-09,-4.784793501372806e-13,7.158075131742857e-14,3.0696239816054455e-13,244.9396882294238,-4.738600776084046,-4.73916409276096,56.85960469757367,-3.762106639760898e-13,-1.5679071740371513e-13,-4.769159945257827e-14,9.999883127551127e-09,56.84574646809215,-3.5545453707170616,-3.5574398241811456,451.0733416010816,3.2667124331643813e-13,9.99965025798204e-09,1.0000680004527908e-08,-6.083654142604103e-13,-9.475333135931596,289.48603865898275,289.4439236256481,-7.1328175520914
17,0.4285,21864612487.077232,-780923867.2005054,4939719996.317766,-530717091.2100229,44414814145.75575,13927185946.8134,9.999952393562756e-09,-4.805727376521496e-13,4.0060273911426664e-13,-6.26588477897224e-14,218.64151368500035,-7.359562997323245,-7.359059483443687,49.3934572300432,-6.537365902359733e-13,-3.598888234345749e-13,2.48443726569728e-13,1.000081306074234e-08,49.37476430084836,-4.995397723115175,-4.998121777603622,444.18440430986544,4.640824870065779e-13,9.999618350099636e-09,1.0000595457727532e-08,-9.220441820563357e-13,-14.716127683223078,278.5673668413699,278.52625594151704,-10.04331735311563
18,0.4521,17853445431.00531,-757656879.4312676,3978124842.452914,-520598580.7895891,43476242665.55936,13157199093.5899,1.0000308085498502e-08,1.723401263828777e-13,2.256248345384821e-13,-1.1047274009778873e-13,178.53958263402927,-7.144486072439421,-7.143134611016938,39.77377454898087,-1.1703962451920645e-13,4.24129843316842e-13,-4.547486728330368e-14,1.0000297897026773e-08,39.78418181633604,-4.915662481531691,-4.918619124038811,434.7749696945074,-1.307420347988268e-13,9.998663689027108e-09,1.0001364135984588e-08,-6.322211608241884e-14,-14.285432442647966,263.16395604595107,263.1238005071292,-9.800392337591235
19,0.4671,16202664097.22396,-468464172.4325494,3453403968.866056,-372486501.2420467,42888825996.0012,12675560465.326466,1.000032959770692e-08,-5.306986254217949e-14,5.901728290585782e-13,-5.155394959455882e-13,162.03042177917376,-4.409596332493281,-4.4090028469971685,34.524891462044096,-4.673999158047113e-13,-2.7398164252601973e-13,3.315935439150602e-14,9.999374765077142e-09,34.51344040491781,-3.5348968865131143,-3.5381871746485256,428.85936732120433,-1.2383286234474634e-13,9.999820457109737e-09,1.0001106853976464e-08,8.401993832873409e-13,-8.840240579924455,253.5427324248009,253.50288857518413,-6.981174438175244
20,0.4764,15461285521.33086,-485096347.5190616,3222613334.3807063,-407750672.1060275,42616592553.49383,12414320718.74648,1.0000145930122828e-08,-3.142675501661451e-13,5.498276360398394e-13,-8.714544591349579e-13,154.61340470328545,-4.577622503355425,-4.576908412728941,32.2050577133327,-4.741759148242412e-13,-1.74051829532224e-13,-1.8371899426050531e-13,9.999358083619512e-09,32.21090618659279,-3.873250241125707,-3.8764257658120505,426.1350238068998,3.9076718934813283e-13,9.999480105940429e-09,1.0000567695153189e-08,1.904734452512805e-12,-9.132165243538443,248.30653340953987,248.2675410689108,-7.616765011707457
21,0.487,14146194606.86597,-606052107.2950153,2738286686.00462,-501725638.6907787,41921743890.90008,12033589739.37256,9.999777250012798e-09,-2.640250893549725e-13,3.791696585749921e-13,-3.9286955714121973e-13,141.45819857974314,-5.725079551331005,-5.723875105192978,27.374180886825204,-2.520738106111649e-13,-2.147480393184577e-13,-1.3988134988609284e-12,1.000096078425403e-08,27.378044268471413,-4.763804411668179,-4.76671994826197,419.2570695219322,-1.6367572317652158e-13,9.999443668694326e-09,1.0001645949225368e-08,-9.065033552407048e-13,-11.42241731172893,240.70424125069653,240.6669672362499,-9.481880841618846
22,0.4975,13503547690.006315,-501511573.937152,2486445025.3520613,-406910410.3054646,41593327279.08127,11823706067.17489,1.0000257000838797e-08,-2.5433577965882054e-13,5.328983790106018e-13,-1.2104402219088064e-13,135.03927498288235,-4.72707131174455,-4.72621536774135,24.85244672576024,6.640052901768424e-14,5.758201331303384e-13,-6.62385986400767e-14,9.999693987968116e-09,24.87749390148833,-3.8186389248564745,-3.821806241818608,415.920164589179,-3.438610012421812e-13,9.999849305012786e-09,9.999616553858602e-09,2.0635098089690281e-13,-9.464031087713009,236.4856464300661,236.4493105523384,-7.672666395726596
23,0.513,12712023095.711626,-338193752.42953706,2261662900.143092,-198737255.9443216,40963118548.922005,11456908067.84924,9.99994505936894e-09,1.22976856618168e-13,2.560137385927058e-13,-2.341063933109265e-13,127.1187888055812,-3.197025177356772,-3.196618963023273,22.606309155122148,-2.6870093718438015e-13,5.275125568168472e-13,-5.074267689221149e-13,9.999074102068704e-09,22.610275846868067,-1.877233892390401,-1.8808585218352591,409.5924977270244,4.256180363845928e-13,9.999537179645304e-09,1.000067552832902e-08,1.2262148804290284e-12,-6.356456166477898,229.1578882016925,229.1230596705936,-3.712679479205288
24,0.5253,11641412402.672085,-25931576.0265248,2065317873.612997,-198906248.4100223,40464610685.42625,10879704971.369968,1.0000224648824436e-08,1.856882016802137e-14,2.629436740988839e-13,9.291209772405252e-14,116.41712419224064,-0.2375684933362314,-0.2375342533112259,20.655658054239208,1.944036525022403e-13,2.165641219510811e-13,-2.2338065428101432e-13,1.0000733535069712e-08,20.661511799724813,-1.861596977177514,-1.8655160807198112,404.6760933719715,6.92652521794751e-13,9.999833921253086e-09,1.000040438000338e-08,-6.031723250127538e-13,-0.4792881771400918,217.61403627474937,217.5793365248388,-3.775636404915888
25,0.5319,11523995370.14988,-35807172.2245473,1934448688.560752,-248376736.9725597,40110758746.34895,10711865307.353045,9.999800662631993e-09,-1.3785683788951417e-13,3.710287860389908e-13,-5.78298488811288e-13,115.23880645323588,-0.3271347099762099,-0.3270052514086761,19.328631858023307,5.954478092715568e-13,-1.3530401231769051e-14,-8.996735890645515e-13,9.999700087407941e-09,19.37654972350856,-2.349879107735945,-2.3535941600661903,401.09418340374674,4.390543782901665e-14,9.999708355170028e-09,1.0000895076733812e-08,1.0934006088169142e-12,-0.6845840992305451,214.26121806331645,214.22673445179595,-4.667972742001899
