t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0002,49820464686.04698,28708585.06420846,10211039251.109898,-57057758.80908734,49807021506.15072,19121041039.79188,1.0003896475884833e-08,7.598016303018825e-12,-2.1426409564698008e-11,2.285289127507118e-12,498.38663339376967,-0.6014181078862259,-0.6000805017944167,102.3462710318548,-1.1164528762225338e-12,5.8670883986620774e-12,1.1989028401078913e-12,9.98981389650563e-09,101.86724230940447,-0.3537118188457396,-0.3553167239616338,497.5863855795781,2.4378940697537632e-11,1.0019603584167797e-08,9.997586468803988e-09,-4.927573564974567e-12,2.037047089686275,382.752312001356,382.74437054147785,-1.3412073784847456
1,0.0002,49820464686.04698,28708585.06420846,10211039251.109898,-57057758.80908734,49807021506.15072,19121041039.79188,1.0003896475884833e-08,7.598016303018825e-12,-2.1426409564698008e-11,2.285289127507118e-12,498.38663339376967,-0.6014181078862259,-0.6000805017944167,102.3462710318548,-1.1164528762225338e-12,5.8670883986620774e-12,1.1989028401078913e-12,9.98981389650563e-09,101.86724230940447,-0.3537118188457396,-0.3553167239616338,497.5863855795781,2.4378940697537632e-11,1.0019603584167797e-08,9.997586468803988e-09,-4.927573564974567e-12,2.037047089686275,382.752312001356,382.74437054147785,-1.3412073784847456
2,0.0004,49810867161.67548,86808264.87219845,10192332413.87858,-102770637.36760429,49810109207.7944,19192481834.83945,1.0020932727037906e-08,5.635822335031207e-12,-1.107878666106772e-11,2.49807965739662e-12,499.18622733090245,0.1536671308601924,0.1551881221697371,102.25800482404756,3.7205100849419055e-12,6.691827421129312e-12,3.8884895047545665e-12,9.989632711121934e-09,102.0127414126095,-0.333993608615339,-0.3355964508331638,497.6100617206312,-1.3330918634260455e-10,9.993349962115022e-09,9.910881938290646e-09,2.93444526102436e-13,-2.8950201465474223,382.0137930875986,382.0057490724206,-2.319163634625326
3,0.0008,49837492111.59825,96109498.83413704,10200195519.22318,-99445938.19746237,49811439620.82988,19233053781.078697,1.002944223480481e-08,1.292754581575819e-12,-3.0673397480553e-11,2.4470485953638613e-13,499.87808907415297,-0.0610841183214349,-0.0595867193008703,102.40605137544016,4.437909746983756e-12,6.646755199061212e-12,4.868127083118624e-12,9.989638523927496e-09,102.03151584480248,-0.3578981495199709,-0.3595048597240624,497.6008062045545,-1.5646540635539776e-10,9.995648546317468e-09,9.88010706202054e-09,-9.247426021947501e-13,-3.911676564065576,382.2710629620086,382.2630512795259,-2.346400337723683
4,0.0041,49823708025.68647,56494966.22867069,10183305735.191347,-110268419.70510726,49786345010.61758,19156944164.4028,1.0017153809856604e-08,8.066763375964568e-12,-4.040910625143587e-11,-8.085476947288698e-13,499.10762958066937,-0.3388073613431796,-0.3373252086058461,101.976243605449,1.872944724008087e-12,5.901294010951943e-12,3.919076261685915e-12,9.989736167036307e-09,101.8174541404224,-0.5941136260453143,-0.5956950746630487,497.34423663211135,-7.737168009714673e-11,1.0016131719549058e-08,9.900012203512353e-09,6.439205939935517e-14,-1.7841820935986712,381.5333537475751,381.5253513690651,-2.43598738272925
5,0.0129,49662312908.72903,-49912789.76668061,10140296606.275011,-163312472.36556575,49699835028.73248,19010873880.83721,1.0014455545909693e-08,5.458679059067239e-12,8.164396250364066e-13,3.4503414726430745e-12,497.33558543899306,-1.245691963484879,-1.2433757395554967,101.7747344009987,-5.393769045596046e-13,5.988539818353187e-12,3.076745420815214e-12,9.990233454467814e-09,101.22405830954628,-1.245900721239671,-1.247041682366704,496.5493384335711,-3.1735632235596697e-13,1.000982088568876e-08,9.93156387582187e-09,-9.942978801518838e-12,0.0271123161736137,379.1051098143635,379.0983955776216,-3.486287371637494
6,0.0325,49438807778.266136,-261135581.96162745,10025793833.06981,-373415459.7090979,49429902725.00555,18871411978.63264,1.0012324248598277e-08,-5.181067460058697e-13,-1.2404161181243544e-11,2.26031635985812e-12,495.0258837012635,-2.300848837585665,-2.298813840937247,100.56598445200952,1.513475942262267e-12,5.578602267115439e-12,6.68011017398777e-12,9.989458547408872e-09,100.173328271039,-3.0194561160197315,-3.020815895630392,493.7981497029641,-6.464521827921978e-11,1.001952946882304e-08,9.846264714823382e-09,7.338317143128265e-12,-7.777760088840028,374.8984286784701,374.8907059217681,-6.997803469265973
7,0.0557,49014877911.18883,-479892179.021708,9878505387.891953,-651365700.8264445,49078002182.010605,18624528971.597816,1.0002300220244646e-08,-6.93847986272799e-13,6.530089598445067e-12,2.1435901034932e-12,490.3397528367772,-4.673078447813244,-4.669847389395017,98.92069162328318,3.3661425956990776e-12,6.285617372378614e-12,2.8764153493400748e-12,9.989465264902654e-09,98.88530452891676,-5.229322678759579,-5.228131127519793,490.2801438885425,-9.220596848571908e-11,9.996810160101894e-09,9.950071648666564e-09,7.276764927012355e-12,-12.141585788777094,371.4944445240263,371.4911905795926,-12.64365918452683
8,0.0853,48478995693.50082,-695109539.284982,9504227723.831385,-831664124.5536366,48594808158.71377,18771822516.49126,9.940141101500804e-09,6.558584272131858e-12,9.838925963537818e-12,-3.048016146098445e-12,482.1833071016767,-6.675572794918432,-6.672569303451877,92.76226720147008,1.286399065973952e-11,8.666778967307422e-12,1.7706682239911597e-12,9.993029172713348e-09,97.41257192252988,-8.427305694079756,-8.426504425496395,485.6327240349448,-2.458489637919988e-10,9.950071797292474e-09,9.975167524606313e-09,-6.027592296303064e-11,-21.68802293731292,374.0160834583101,374.0141347924712,-16.97887947002334
9,0.114,47796639131.97604,-831221933.8532747,9602523662.185743,-1092023111.1065042,48142869043.63426,17700620133.55548,9.665168457731673e-09,1.0847730611495975e-11,-1.2675994442577982e-10,1.3463805287598688e-11,461.8946948375672,-10.83712300663239,-10.835670061331893,93.9790025153862,-9.632453564469545e-13,2.4563951190369187e-12,-1.2587265987888344e-11,9.989553401386377e-09,95.19527233299011,-10.617772346238407,-10.61684724400148,481.0563137365325,7.480975204232112e-11,1.007955652764456e-08,1.0299433221954293e-08,2.3093991037908025e-12,-12.46656962428836,360.8243966804295,360.8199561627686,-21.18454247031475
