t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
1,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
2,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
3,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
4,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
5,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
6,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
7,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
8,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
9,0.0004,49685088124.15739,46612443.02571302,10307995785.836449,-54628584.32436781,49682958868.68031,19259120192.686382,1.0000227520322456e-08,1.3774546374640654e-13,-4.954106225185075e-13,-1.4188723841051465e-13,496.864524667956,0.4302384141831408,0.4273483739070945,103.08477338914032,2.2782448296915964e-13,1.6760942976976744e-13,2.94485433111934e-13,1.0000150344126368e-08,103.08330778397335,-0.5085585319473629,-0.5056636763456333,496.8356078954971,-2.2030525776503992e-13,9.99983713572975e-09,9.99990912194216e-09,-2.3404188329852173e-13,0.8746075197606774,385.1838365346558,385.1711183587876,-1.0374190099908782
