t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49706558113.56641,-17155641.185756408,10278326068.879864,23618558.07713349,49720385358.96013,19217782215.00731,1.0011149095795149e-08,4.0354425365444e-13,-2.621041569900224e-11,-2.3163033878711283e-12,497.5767036841944,-0.8653012935144189,-0.8786236200394842,102.6544160251718,-4.226706404213656e-12,3.188399114332063e-13,-3.091064654200172e-12,9.999415668221373e-09,102.6948397736714,0.1539210939982777,0.1671566435342066,497.1508880048456,-1.752643087910297e-11,9.999066068324042e-09,9.979670082703936e-09,-2.837783137325379e-12,-0.9427402807576494,383.9416962503224,383.9529129676641,0.1965282514084943
1,0.0,49706558113.56641,-17155641.185756408,10278326068.879864,23618558.07713349,49720385358.96013,19217782215.00731,1.0011149095795149e-08,4.0354425365444e-13,-2.621041569900224e-11,-2.3163033878711283e-12,497.5767036841944,-0.8653012935144189,-0.8786236200394842,102.6544160251718,-4.226706404213656e-12,3.188399114332063e-13,-3.091064654200172e-12,9.999415668221373e-09,102.6948397736714,0.1539210939982777,0.1671566435342066,497.1508880048456,-1.752643087910297e-11,9.999066068324042e-09,9.979670082703936e-09,-2.837783137325379e-12,-0.9427402807576494,383.9416962503224,383.9529129676641,0.1965282514084943
2,0.0,49706558113.56641,-17155641.185756408,10278326068.879864,23618558.07713349,49720385358.96013,19217782215.00731,1.0011149095795149e-08,4.0354425365444e-13,-2.621041569900224e-11,-2.3163033878711283e-12,497.5767036841944,-0.8653012935144189,-0.8786236200394842,102.6544160251718,-4.226706404213656e-12,3.188399114332063e-13,-3.091064654200172e-12,9.999415668221373e-09,102.6948397736714,0.1539210939982777,0.1671566435342066,497.1508880048456,-1.752643087910297e-11,9.999066068324042e-09,9.979670082703936e-09,-2.837783137325379e-12,-0.9427402807576494,383.9416962503224,383.9529129676641,0.1965282514084943
3,0.0,49706558113.56641,-17155641.185756408,10278326068.879864,23618558.07713349,49720385358.96013,19217782215.00731,1.0011149095795149e-08,4.0354425365444e-13,-2.621041569900224e-11,-2.3163033878711283e-12,497.5767036841944,-0.8653012935144189,-0.8786236200394842,102.6544160251718,-4.226706404213656e-12,3.188399114332063e-13,-3.091064654200172e-12,9.999415668221373e-09,102.6948397736714,0.1539210939982777,0.1671566435342066,497.1508880048456,-1.752643087910297e-11,9.999066068324042e-09,9.979670082703936e-09,-2.837783137325379e-12,-0.9427402807576494,383.9416962503224,383.9529129676641,0.1965282514084943
4,0.0002,49697693369.61057,-19077278.872950926,10276883040.001053,21100112.821341213,49719274310.46915,19216135068.617542,1.0009320652434081e-08,7.258180671537889e-13,-2.619936824657272e-11,-1.894032231785924e-12,497.3987384596218,-0.8592667433421403,-0.8725861531585898,102.62404034097862,-4.068347654836985e-12,5.204657109051167e-13,-3.0202582842886148e-12,9.999544291743798e-09,102.70782761827508,0.14565531718552,0.1588911877436691,497.1505173892537,-1.729498917507134e-11,1.0000609951011745e-08,9.979528220289052e-09,-2.741106400082873e-12,-0.9843547399167848,383.9358011544983,383.9470169497576,0.1457898988446499
5,0.0037,49545535894.13743,-12550715.579420092,10289279128.662651,25202807.2665743,49721323602.52007,19216870917.324554,1.0008245339536192e-08,1.7495295411432726e-13,-2.8442306770795857e-11,-5.410038368788584e-12,495.8375332142203,-0.5546243727302853,-0.5677973197010622,102.65076746437964,-2.5473751301808818e-12,-5.248636108553578e-13,-2.44053255021596e-14,9.998989671190809e-09,102.8140889599659,0.2252227906523074,0.2384681867133475,497.1071146353759,-8.844794556246156e-12,9.997534023303914e-09,9.994025083672029e-09,-6.159460742240392e-12,-0.8373545479110618,384.1702686859304,384.1815399015159,0.0853087737746838
6,0.023,48435224331.02858,9837651.829817714,10220624240.031475,55446384.03711219,49664212519.97453,19059623365.605965,9.975154741364582e-09,-2.570733480547993e-12,1.881007227290604e-12,-3.7437283852847495e-12,483.1956188067533,0.0360270727891775,0.0118561681437032,101.59656492607556,4.587892567586422e-12,-2.063466322394108e-13,1.8109325725508001e-12,9.998458365192197e-09,102.59264691726,0.5117172801739823,0.5218998933239016,496.5267770754876,1.8282301550298256e-11,9.999152672904688e-09,1.0007878981028605e-08,-7.626502933316587e-12,0.942579950476028,381.31993185008383,381.3332017402669,0.7969508774935776
7,0.0521,46836652419.96032,-36626527.530807056,10126759796.345451,30539646.665336225,49553479063.92819,18807666890.45064,1.0002318818336787e-08,-6.321165885875365e-12,7.790504539125391e-12,-1.977798330279112e-12,468.4480164328417,-0.4372554385596527,-0.4607381505105715,101.21995340310936,-2.739744080282068e-12,8.072993206186789e-13,-3.106028917263372e-12,9.999877147222011e-09,101.10857074867396,0.3110728034078696,0.3212771649097727,495.5086848904264,-1.3642634198079816e-11,1.000415430855185e-08,9.985432751627812e-09,4.3124429029846926e-14,-1.0773867213669708,375.950786871195,375.9640052214051,0.4996351282832968
8,0.083,45288479702.29984,-35772960.573982835,9964172703.868504,33003101.53829572,49428276143.98335,18534342609.07973,9.984659006018772e-09,7.147110658088374e-13,1.4113221084790808e-11,-3.6195339646821997e-12,452.1875170757323,-0.1123851513831369,-0.1352391363354291,99.30776457960128,-2.736944723218447e-13,-2.476516674708392e-14,2.577379032244333e-12,9.999483112435429e-09,99.6400685921215,0.4432905481663857,0.4535569304245372,494.2209379129682,-4.512120881369517e-12,9.998840280970623e-09,1.0013328753837928e-08,-4.796266151071556e-12,-0.70627091655928,370.90561112531446,370.9185417651125,0.4446883140018521
9,0.1145,43944445874.94496,81697491.72463736,9830850269.87198,120681004.87962373,49223225498.46864,18285011587.414963,9.98863944773587e-09,3.943773104684724e-12,4.36021848572574e-13,-1.472189313249216e-12,438.9481008150013,0.8097416028129195,0.7864997161775886,98.21458036125672,3.14287177848412e-13,-6.349402857492007e-13,5.305392190892485e-12,9.998965210519876e-09,98.23071335289444,1.2810623651204125,1.2915179850391063,492.1664220014868,-3.153701854224588e-12,9.998514487121818e-09,1.0023561794084823e-08,-3.671311574950737e-12,1.5154541857106438,366.0980396224074,366.111526799971,2.1300972483471776
