t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.042513576043791e-06,-9.087487990604432e-09,-1.0320947946576736e-06,242538.07917294168,4114.290179302159,-1.0787759682109044e-08
2,1.00850271520876e-05,-1.8174975977876824e-08,-2.064189589313504e-06,485076.1583456318,8228.58035878049,-1.62964225674212e-08
3,1.5127540728131288e-05,-2.7262463974196645e-08,-3.096284383991883e-06,727614.2375174224,12342.87053803315,1.7912304400999012e-08
4,2.017005430417522e-05,-3.6349951946047935e-08,-4.128379178629797e-06,970152.3166906292,16457.160717438775,-1.8077119401996227e-08
5,2.5212567880219183e-05,-4.5437439918779096e-08,-5.160473973260244e-06,1212690.3958637794,20571.4508969606,3.893327039910582e-09
6,3.0255081456262943e-05,-5.452492793119721e-08,-6.192568767915351e-06,1455228.4750381964,24685.741076502745,1.7836247761614662e-08
7,3.5297595032306554e-05,-6.361241592068169e-08,-7.224663562619634e-06,1697766.554211182,28800.03125539941,-1.4987008058858767e-08
8,4.034010860835058e-05,-7.269990388458196e-08,-8.256758357235284e-06,1940304.6333816624,32914.32143501941,-8.09679942136237e-08
9,4.538263861830466e-05,-8.206844043488098e-08,-9.289313965906428e-06,2182626.632922641,37023.6237210949,2.565315054722714e-08
10,5.042510384283913e-05,-8.978242868341853e-08,-1.0323296890444096e-05,2424470.9660607544,41120.36869154789,-1.9130994844825046e-08
11,5.546816660089319e-05,-8.98240414002996e-08,-1.1364109789653404e-05,2660325.547109837,45171.398500040974,-8.851743012774065e-08
12,6.05111200104023e-05,-9.96017898938495e-08,-1.2412353074464198e-05,2882059.5408110577,48439.27359770611,-4.546326327697874e-08
13,6.55542116740387e-05,-1.1116215289413267e-07,-1.3456995093218291e-05,3096290.616175592,52004.195274131474,5.8981832706759677e-08
14,7.05930966579294e-05,-1.734207604389035e-07,-1.4467722773894512e-05,3297082.5745014995,55508.93501107978,1.5316367068113882e-07
15,7.564000560159922e-05,-1.656317813530725e-07,-1.5378852162833605e-05,3447691.638573431,59133.454915777,6.390386872659108e-08
16,8.068242763160378e-05,-2.2850700134142977e-07,-1.63541143899699e-05,3637528.210574213,62178.29182735085,-1.468000444117285e-07
