t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.050798911970181e-06,3.847572984113267e-09,-1.0336815527186856e-06,229885.81427993425,-2695.657825325228,7.773153512719304e-08
2,1.010159782394038e-05,7.695145969508474e-09,-2.0673631054352616e-06,459771.6285615137,-5391.315650196824,-5.976172120870379e-08
3,1.515239673591057e-05,1.1542718952147209e-08,-3.101044658157412e-06,689657.4428422349,-8086.973475216989,3.220348981186203e-07
4,2.020319564788044e-05,1.5390291863386643e-08,-4.134726210901763e-06,919543.2571218256,-10782.631302009184,2.1134845300435563e-07
5,2.5253994559850685e-05,1.923786484987187e-08,-5.16840776360688e-06,1149429.071413817,-13478.289123428603,-1.0074594426725085e-08
6,3.0304793471821484e-05,2.3085438000728053e-08,-6.202089316288887e-06,1379314.8856888283,-16173.946946828244,1.421222430934561e-07
7,3.5355592383790204e-05,2.6933010625422162e-08,-7.235770869097253e-06,1609200.699970865,-18869.604778339195,-3.820216668184783e-07
8,4.040639129576188e-05,3.0780584000035585e-08,-8.269452421702911e-06,1839086.514260504,-21565.262592555067,9.3205311166269e-07
9,4.545719020773052e-05,3.462815657424881e-08,-9.30313397457173e-06,2068972.3285379289,-24260.920427220102,2.766141355621034e-07
10,5.050865271877305e-05,3.4058711169612754e-08,-1.0340212700405953e-05,2297433.494355669,-26939.038477838058,-4.73653850639673e-07
11,5.55595320051953e-05,3.87347543971512e-08,-1.1381814341206208e-05,2520950.385118769,-29755.86045730629,-7.544834198485701e-07
12,6.061042612864986e-05,5.3761461635513374e-08,-1.2418967061466266e-05,2731751.032384036,-32577.79071680981,9.33150816981388e-07
13,6.565958974239731e-05,5.8620526097823736e-08,-1.3432198598870264e-05,2925258.43080306,-35583.49679602277,1.256955497964317e-07
14,7.071375180072829e-05,1.0944630037674117e-07,-1.4423309357824838e-05,3118924.310019162,-38672.03146303186,1.5619419332057604e-07
15,7.57602253513979e-05,7.236802988594105e-08,-1.538839837128502e-05,3277990.00990419,-40908.85725836013,-3.012861426712776e-06
16,8.081315065145355e-05,8.164739736056116e-08,-1.635243802207992e-05,3448339.2284492576,-41878.168327921645,3.4774165382072224e-06
17,8.58622302531446e-05,1.1035881368648097e-07,-1.729731888397547e-05,3607095.35379422,-43068.97062502642,-1.5613610942201594e-06
18,9.091082490654262e-05,8.91184610667088e-08,-1.822435470875445e-05,3753984.173345263,-46354.61119727852,3.4334969585183143e-06
19,9.596439978193472e-05,3.7267534434608076e-08,-1.915636752704954e-05,3907961.0470885234,-48991.11156533684,-1.9725274451695308e-06
20,0.0001010160070832,1.0015244131896981e-07,-2.005317693520797e-05,4043657.791527836,-50085.73814454355,2.441915478418588e-07
21,0.0001060652614528,1.1716190456661677e-07,-2.092074300526163e-05,4168196.936646282,-51987.36710517034,-1.6923193567522207e-06
22,0.0001111021236986,1.764198854800347e-07,-2.176519879956297e-05,4289088.636747768,-54206.22606412933,-1.8582610779339307e-06
23,0.0001161520357435,2.461223962620197e-07,-2.244725953933024e-05,4392574.96613678,-55265.36651346748,-4.252254738863294e-07
24,0.000121225878782,7.55258026626351e-08,-2.3077818617167145e-05,4449389.872396007,-54996.94065179418,4.441886929640506e-06
25,0.0001262708773322,5.3763580862939216e-08,-2.380527489634114e-05,4520291.024659941,-56395.19771837592,5.238576312737462e-06
26,0.0001313244512583,6.373254955154776e-08,-2.4610539273851543e-05,4634083.011449756,-59752.28098312229,6.019098860741906e-07
