t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.999425176757197e-06,8.758123974893041e-11,6.955786411811022e-11,508707.4745393309,-1688.328717204958,98910.61012723134
2,1.999885035351439e-05,1.7516247949921248e-10,1.391157282358213e-10,1017414.9490786464,-3376.657434433416,197821.2202544856
3,2.999827553027157e-05,2.6274371924967687e-10,2.0867359235321917e-10,1526122.423618195,-5064.986151537107,296731.8303817233
4,3.999770070702877e-05,3.5032495900632846e-10,2.7823145647010824e-10,2034829.8981573945,-6753.314868911518,395642.4405087716
5,4.999713933599435e-05,4.3769728233088586e-10,3.4593587058898843e-10,2542700.3010906884,-8404.11966510646,494613.0119557357
6,5.999689871585816e-05,6.274267935968667e-10,5.956486348341109e-11,3042114.7847727826,-9881.225523613077,594263.5232585672
7,6.999664138481761e-05,2.4719409221994613e-09,2.068500749714815e-10,3462856.6010397933,-12714.857612346425,693671.2906826314
8,7.999540577204382e-05,3.4882044089745674e-09,1.1626920336275644e-10,3839985.072569547,-6289.102560844425,782617.0516366956
9,8.999596061846117e-05,6.893379269381737e-09,7.137927171757532e-10,4115885.857853673,-15155.438748071734,882250.7683636475
10,9.998329807700132e-05,1.1754490481173402e-08,2.52985058455193e-10,4367147.056746795,-20554.76535724027,954044.441218646
11,0.0001099820939676,1.2715282267493541e-08,1.340058137220111e-09,4658039.130591976,-19947.62240381229,1036034.8349933836
12,0.0001199827248306,1.494416571129555e-08,1.6308059219667554e-09,4890594.189211908,-38369.45123038783,1104767.8834488485
13,0.000129985910846,1.7844937350774004e-08,-1.7783624677994394e-10,5095928.406164328,-43380.56140411514,1168908.7812042262
14,0.0001399864765706,2.1962332919563632e-08,-3.3929671359493902e-09,5284444.61684969,-28590.97205198009,1221124.330333426
15,0.0001499930632602,3.0259975264595784e-08,-1.0348787094070854e-08,5334928.915419232,-28125.573327921156,1195863.630983492
16,0.0001600109170175,2.6698606485675404e-08,-4.353158223018388e-09,3845562.698919905,40036.4108191113,829067.7277459598
17,0.0001700182476468,2.7016320387246812e-08,-3.143899369876453e-09,3602353.8764260146,48833.14031851343,716630.9399319188
18,0.000180022745414,2.6009752772204597e-08,-3.6808000106769102e-09,3641258.951655271,58638.595620526656,720644.483438436
19,0.0001900308323243,2.735874574094537e-08,-6.225570921655739e-09,3441599.36822122,116089.57935138716,676724.0879146975
20,0.000200048297084,3.832680487834616e-08,-6.009120117093205e-08,3065544.1440250366,178090.77439572124,527605.8368677163
21,0.0002100513043854,3.9898367079834866e-08,-6.319506309566166e-08,3191566.6223848304,178862.70948953403,546689.7895917734
22,0.0002200548741007,4.1853727484348336e-08,-6.48245602475355e-08,3265218.9206883223,161228.67983931812,534143.7791347237
23,0.0002300606414225,4.3495665729289415e-08,-7.077049864116378e-08,3197512.455080708,129077.47303087912,538238.8249393991
24,0.0002400515126225,1.64211901616713e-08,-1.3951782871993386e-07,3215751.96653308,202878.2487950172,588476.3497061892
25,0.0002500589318673,1.3770131393899253e-08,-1.444642422420575e-07,2597574.11753371,102866.18967784072,361070.40858644265
26,0.0002600637106217,7.469093740887494e-09,-1.544695619553523e-07,2652141.8794895257,176240.90704891738,142384.55264254007
27,0.000270066135522,1.4191947541015716e-08,-1.7024734226619993e-07,2715843.078430253,177247.15464476476,142260.11537721797
28,0.0002800708778404,1.1217387693834298e-08,-1.8429572321913285e-07,2666714.957911954,280025.15637291817,206466.3923380433
