t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49731310239.28036,34868385.59951081,10272096309.17142,-34929182.084154345,49732760945.53836,19184215199.23237,9.99981729827729e-09,2.946267027667102e-14,-2.180059842801837e-13,4.663668663099507e-14,497.30241279784855,0.3334747781239029,0.3279148742776217,102.72019287215132,-1.552909587923785e-13,-7.011555930072283e-14,2.252857725201477e-13,9.999749557804795e-09,102.71187765651224,-0.3344071987854621,-0.3288471390435758,497.3156443890699,-2.5234461948138185e-13,1.0000031147513084e-08,1.0000033897208346e-08,-3.3052551985950133e-13,0.6419580175503932,383.6993411128235,383.67174009477617,-0.6660925719926089
1,0.0,49731310239.28036,34868385.59951081,10272096309.17142,-34929182.084154345,49732760945.53836,19184215199.23237,9.99981729827729e-09,2.946267027667102e-14,-2.180059842801837e-13,4.663668663099507e-14,497.30241279784855,0.3334747781239029,0.3279148742776217,102.72019287215132,-1.552909587923785e-13,-7.011555930072283e-14,2.252857725201477e-13,9.999749557804795e-09,102.71187765651224,-0.3344071987854621,-0.3288471390435758,497.3156443890699,-2.5234461948138185e-13,1.0000031147513084e-08,1.0000033897208346e-08,-3.3052551985950133e-13,0.6419580175503932,383.6993411128235,383.67174009477617,-0.6660925719926089
2,0.0,49731310239.28036,34868385.59951081,10272096309.17142,-34929182.084154345,49732760945.53836,19184215199.23237,9.99981729827729e-09,2.946267027667102e-14,-2.180059842801837e-13,4.663668663099507e-14,497.30241279784855,0.3334747781239029,0.3279148742776217,102.72019287215132,-1.552909587923785e-13,-7.011555930072283e-14,2.252857725201477e-13,9.999749557804795e-09,102.71187765651224,-0.3344071987854621,-0.3288471390435758,497.3156443890699,-2.5234461948138185e-13,1.0000031147513084e-08,1.0000033897208346e-08,-3.3052551985950133e-13,0.6419580175503932,383.6993411128235,383.67174009477617,-0.6660925719926089
3,0.0,49731310239.28036,34868385.59951081,10272096309.17142,-34929182.084154345,49732760945.53836,19184215199.23237,9.99981729827729e-09,2.946267027667102e-14,-2.180059842801837e-13,4.663668663099507e-14,497.30241279784855,0.3334747781239029,0.3279148742776217,102.72019287215132,-1.552909587923785e-13,-7.011555930072283e-14,2.252857725201477e-13,9.999749557804795e-09,102.71187765651224,-0.3344071987854621,-0.3288471390435758,497.3156443890699,-2.5234461948138185e-13,1.0000031147513084e-08,1.0000033897208346e-08,-3.3052551985950133e-13,0.6419580175503932,383.6993411128235,383.67174009477617,-0.6660925719926089
4,0.0002,49719779946.141365,33207940.23124023,10272955831.819777,-34762352.85692648,49732641834.552765,19183467016.03685,9.99980009418888e-09,1.9466906220982773e-13,-2.528437672230797e-13,-1.472041738580758e-13,497.1868079403634,0.3169266208018865,0.311370368473964,102.71929080670364,-1.0117000020393609e-13,-7.012844933510389e-14,2.016701213452708e-13,9.999802304135681e-09,102.72340316661806,-0.3333665232709426,-0.3278067761730999,497.3150756726781,-4.1097324961619604e-13,9.999666795565076e-09,1.000016867442666e-08,-4.4976004939682264e-14,0.6085670500128045,383.6799768755999,383.6523790759978,-0.6513882202987499
5,0.007,49432236653.33003,34833021.91645791,10286626821.28545,-31562503.63820372,49725572051.71964,19161716225.37048,9.999815111692986e-09,1.431383722370275e-14,-1.885978844057571e-13,-1.4135923505620088e-13,494.3130052091609,0.3319768947377702,0.3264403890634955,102.85802060804684,-2.0066979954636965e-14,1.9701045819426355e-14,2.1883212694856255e-13,9.999537716242997e-09,102.85988477258668,-0.3008864387483244,-0.2953979312974017,497.23128121699096,-4.650442626040295e-13,9.999908906990162e-09,9.999945400768922e-09,-6.874873518110919e-14,0.6351018638383106,383.24548572502624,383.2175544208518,-0.5921604520457526
6,0.0309,48494858058.69134,62274937.33976799,10260009483.971256,-9352640.627796914,49680335935.093605,19036615724.125668,9.999543400353296e-09,9.407248585115346e-15,-2.0684521680894859e-13,-1.5380534438810453e-14,484.92413838231886,0.5908468485885476,0.5862359809144122,102.59566291782576,-2.2177093062841015e-13,5.5057080314119095e-14,1.6409084343121264e-13,9.999570648521694e-09,102.58366386647596,-0.0841570772329483,-0.078415835301652,496.781873101385,-4.066469301376947e-13,1.0000087539220137e-08,1.0000216045372137e-08,-2.1926234507509965e-13,1.1536738858004754,380.7522491931617,380.72391121502176,-0.1871587952755555
7,0.0696,46935590534.172646,55126106.840484336,10115860873.878489,-35507912.18567405,49558449397.02436,18781958009.609425,9.999669646515374e-09,-4.5643920230462826e-14,-1.7034087178916724e-14,-2.975683613516768e-13,469.3401147742309,0.5235497375034438,0.5185538368785811,101.13894572690756,-2.532040017112968e-14,5.156088287910579e-15,6.890222730342329e-14,9.999685501857124e-09,101.15655230651176,-0.3376771730711026,-0.3324034079199781,495.5658935575201,-5.573176240336097e-13,1.0000116724510608e-08,9.999805323285473e-09,1.2292759439680353e-13,1.0160839931880836,375.65241598566433,375.6229647633517,-0.663147955425531
8,0.121,44695160638.82026,144503768.10167116,9870456185.31936,-1995086.2192388591,49333431573.82735,18374069152.77648,9.999925806508472e-09,-5.1062816369305886e-14,-1.2366953224792005e-13,-1.7457949368267085e-13,446.9481735291705,1.370987878658462,1.3648810338451065,98.69447162750512,4.071513561324965e-16,1.332996800672436e-13,3.5975010924279254e-13,9.999838843698961e-09,98.70447055098376,-0.011798836886949,-0.0064568186375236,493.3246433117265,-8.820269447865794e-13,1.0000003428680964e-08,9.999590057652495e-09,-5.663136979231532e-13,2.6853169214928148,367.4886014359311,367.45917679173874,-0.0568595874441249
9,0.1634,43088596715.71333,163903832.57812148,9701189504.00174,-26894035.99244724,49134980262.103874,18070313157.79101,9.999717281067756e-09,-1.1972695708789768e-13,-3.355979637036196e-14,1.9212005903122456e-14,430.8724226590703,1.5458999789008268,1.5434935980927502,97.00746602468904,-1.3034803195026422e-13,-4.377540820050293e-15,-1.153041188332654e-13,9.999979277044954e-09,97.0078173826974,-0.2563036861414102,-0.2488126402084869,491.3489710652163,-6.332934141662598e-13,1.0000140518040166e-08,9.999779516764466e-09,-1.1135889665003113e-14,3.0643462928494856,361.42094539872215,361.3886497215744,-0.5121983654265014
