t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
1,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
2,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
3,0.0,49760192962.47403,74676455.60734317,10242493523.826277,-73173474.57396866,49760099169.9025,19067916455.7519,9.999664584520949e-09,-3.555175410646033e-13,-3.176394624067552e-13,3.115677083264572e-13,497.5837277818581,0.6867240290071829,0.6960598511912748,102.44061658230174,-1.5105374499567176e-13,7.660573407807254e-13,3.8380387479372776e-14,1.0000363509990722e-08,102.41748358247132,-0.672829084017531,-0.6821676341205207,497.62228112841854,5.057999379076549e-13,1.0000063706809322e-08,9.999755616664169e-09,-1.4113553399748913e-13,1.4274048461578832,381.3590109669917,381.3505515657845,-1.380975297268077
4,0.0004,49748356470.11067,74519886.89432016,10243360991.20312,-73234967.3678526,49760019552.815216,19067808737.535435,9.999791247625638e-09,-3.566771473288987e-13,-2.79989129989055e-13,2.0238608670011092e-13,497.4713981246137,0.6843997581662088,0.6937359986298397,102.44669630131462,-1.7731677869097489e-13,7.59190142487379e-13,2.944602574410847e-14,1.0000292267978473e-08,102.4225804029506,-0.6742356757918161,-0.6835739864570562,497.616820966196,4.969730275021397e-13,1.0000117605362267e-08,9.999714950273111e-09,-1.303757532329609e-13,1.4258169469116966,381.357112685798,381.34865312442537,-1.3811102609068118
5,0.008,49388453763.77056,51407298.08976387,10255728402.77362,-74798680.43435055,49751681084.02373,19032207602.214687,9.999871612826288e-09,-3.3948946825556924e-13,-5.057525061187434e-13,1.5620397843461708e-13,493.875494800704,0.462808263608141,0.472075882496075,102.56843257219866,-2.6480042486829404e-13,5.112563572375666e-13,-5.0979559898630816e-14,9.999977461434593e-09,102.53907447834882,-0.6955175487784266,-0.7048631764432675,497.5173401570098,2.845104079329184e-13,9.999797579749165e-09,9.99982775642218e-09,-6.888047282012237e-13,0.9789090972608944,380.6411574629413,380.63273862098015,-1.4345075645898375
6,0.0311,48231340641.0126,48866576.79363942,10221949936.772057,-68387805.26976201,49709143346.069145,18894585379.580303,9.999655893085403e-09,-2.6218858544598453e-13,-4.0075225328554834e-13,3.035864250327388e-13,482.2929629868506,0.4347302965066721,0.4424764565119525,102.23358393354486,-3.769144393465959e-13,6.32381135683942e-13,-1.8433389531997365e-14,1.0000274278885568e-08,102.20061147485995,-0.6340327519986275,-0.6433214970109742,497.1081522401298,1.3263379587424894e-13,9.999737157191793e-09,9.9999535358687e-09,2.8800929625459773e-13,0.9357241410747842,377.89020286387546,377.8813833519753,-1.2728643494510117
7,0.0659,46257056706.10651,13420374.908054693,10084264091.703114,-88367311.6346684,49589371083.95828,18638735093.705444,9.999996592020524e-09,-1.5499940113790434e-13,-6.66229171434111e-13,6.871359040038591e-14,462.5687704170816,0.1099572523064602,0.1107730281970906,100.8449468953985,-1.6256342749344384e-13,2.439908594978414e-13,6.390922657910018e-14,1.0000144615583469e-08,100.83686698169616,-0.8271358921439408,-0.83314025270164,495.9016211671453,2.29938583719372e-14,1.0000049616078768e-08,1.0000057122407842e-08,-5.516827769423533e-13,0.252663841292866,372.78113374152446,372.7721769812607,-1.6863656387196584
8,0.0949,44727958480.5268,57716326.942780815,9941800500.29572,-84972158.87217076,49423679836.62568,18347664004.906017,9.999596805855855e-09,-1.4683430278622196e-14,1.8792766710538534e-13,1.522687467759899e-13,447.2596945720629,0.5408697788426841,0.5457555554529184,99.42637498686776,-1.88590786410783e-13,4.1931379029251946e-13,-8.440060544075987e-14,1.0000401712509678e-08,99.40704962662063,-0.7929157357087249,-0.7973536328822158,494.2582146677324,3.478158301709993e-13,1.0000289160734853e-08,9.99992848818398e-09,-6.009092238064158e-13,1.107445878291819,366.95957121445787,366.9549410888648,-1.6212102670414903
9,0.1314,42650588991.36375,-8073738.032755404,9734167839.18803,-98154544.31385948,49160440401.15139,17980275675.484066,9.999726534411242e-09,-3.9135385152195176e-14,-3.10186261433186e-13,2.2573741358006738e-13,426.49386445439615,-0.083245795163532,-0.0774257846826957,97.35444082844673,-3.7200640192514966e-14,6.973544294822818e-13,-2.587531319741169e-15,1.0000485111701032e-08,97.33878219588482,-0.9009349153418538,-0.9050210432215,491.6305180814136,-1.5804524685145373e-14,1.0000181794267869e-08,9.999960246590997e-09,-7.444143262068816e-13,-0.1526497705415052,359.6085685922196,359.60744252824185,-1.8847440915461693
