t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
1,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
2,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
3,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
4,0.0002,49678388922.27088,49774557.19424807,10311496933.373877,-49583474.67636494,49687581234.86212,19263746452.90232,1.0000258160347516e-08,9.496234604868785e-14,-4.804156641912128e-13,-1.486337249955703e-13,496.7974573748531,0.46042169932902,0.4575303165805984,103.11833499371998,7.251165412960307e-14,3.6495372242691223e-13,2.693331539035336e-13,1.0000118479684586e-08,103.11170359375735,-0.4586112386981832,-0.4557219213509446,496.8801742938172,-9.90975811632756e-14,9.999870533021322e-09,9.999985791146376e-09,-1.5863388354129054e-13,0.9387534997670494,385.2784771398507,385.2657500922954,-0.9376283218464738
5,0.0073,49349274181.27305,33541733.17284781,10325879038.47582,-50362432.94775564,49679434748.50192,19237178586.34763,1.0000270517211032e-08,3.97478943614771e-14,-4.692778920775843e-13,-2.3759210763578224e-14,493.5079675428447,0.3015161378869136,0.2986276003113475,103.26562925957462,1.8240792217428185e-13,2.7016421711387844e-13,4.510710232971851e-13,1.0000137646594774e-08,103.26405791383112,-0.4662653026175693,-0.4633714157614255,496.8009555538633,-2.5216774435007105e-13,9.999520820263445e-09,9.99989082952598e-09,-3.159608779425054e-13,0.6320461657265485,384.7385504088461,384.7258610040346,-0.956105344461796
6,0.025,48247024598.95958,13698889.40707071,10307102901.33645,-54631218.90107742,49632447755.4141,19116503221.203743,1.0000430623172552e-08,1.858579759584197e-13,-5.6387201072709e-13,-1.0113104231484276e-13,482.4910768802147,0.1170640242496614,0.1147896082589586,103.07122055567947,5.431122855758877e-15,-7.155888913805075e-14,1.1401807515454013e-13,1.0000198830975724e-08,103.07271674706648,-0.5184998034565215,-0.5154265903224186,496.333322219916,-1.1030856694967833e-13,9.999657250262948e-09,1.0000099386006272e-08,-3.5915739912782546e-13,0.2584278869630965,382.3318540653983,382.318955958111,-1.0428839037905435
7,0.0517,46794459141.27421,-11652123.0417811,10187062668.824718,-59475083.57382475,49527769412.03221,18875087274.25389,1.000029270545686e-08,6.473034392614108e-14,-4.340486009150227e-13,-1.256425118971751e-13,467.9598392503239,-0.1204040440060202,-0.1155489088420881,101.86960280032072,1.5222806360396622e-13,1.706129018564174e-13,2.885713224837018e-13,1.0000245656063098e-08,101.87880016658976,-0.5554209295443095,-0.5507136288928738,495.2886055842304,-4.609077507612403e-15,9.999631358547717e-09,9.999957671831893e-09,-4.366700724856395e-13,-0.2180925538718869,377.503688255004,377.4842451753893,-1.1361496010911918
8,0.0834,45161721114.99194,9611985.910036651,10028895376.270784,-50734032.4363518,49359492648.735054,18571659379.81298,1.0000287290372997e-08,1.9727792723553854e-13,-7.70620641517528e-13,8.880294019840711e-14,451.630812281738,0.0711022662635554,0.074820283349718,100.2996040876288,6.252177166375733e-14,2.01050740798662e-14,3.587650818829177e-13,1.0000056178921913e-08,100.28884605864268,-0.471082516701693,-0.466595469744205,493.59859556657176,-5.4539359441631335e-14,9.999520081666904e-09,9.999805789006772e-09,-1.1728069586768228e-13,0.1858309022944889,371.430638968368,371.41064969497097,-0.9640044406800052
9,0.122,42977340690.26248,71329940.362949,9690982376.209955,-21027498.666273803,49046049175.45263,18150825375.05288,1.0000157538891881e-08,1.0326303095352089e-13,-5.960406648139701e-13,-1.033427658644954e-13,429.78222501230096,0.6457266425299526,0.6596240449785774,96.913564412572,2.0984437522448466e-13,5.687626404815455e-14,3.656650700724404e-13,1.0000532214257586e-08,96.91860949344304,-0.2016914724047305,-0.1963100538287093,490.48559468425617,2.0938413519875734e-13,9.999618782569794e-09,9.999634692131777e-09,-6.68994930319514e-14,1.363887923335087,363.0157369487019,362.9900947339587,-0.3902278859828995
