t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
1,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
2,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
3,0.0,49739986794.16196,-44795702.1020082,10261813982.742638,46906135.98157974,49737839732.08755,19143135630.04501,9.999708002986013e-09,-1.950309865175273e-13,-1.0141522058290765e-13,2.380899188853496e-14,497.38882297161234,-0.4268081647402633,-0.4254290585667772,102.595828721005,3.391611617582775e-13,-3.84052687418127e-12,-1.7614930933248617e-13,9.999060231118892e-09,102.64593624989747,0.3809292141386445,0.3795644370526558,497.3318149436736,2.4584396675041206e-14,9.997202689042583e-09,1.0000224936455536e-08,-1.7574468200441898e-12,-0.8678277005814267,382.7979885638752,382.8286363625991,0.7776178836284171
4,0.0004,49726410096.76688,-44767573.89719965,10262873053.80681,47051871.33557469,49737634468.67027,19142076774.30696,9.999839308741716e-09,-1.258701717068485e-13,-1.555118136937784e-13,-3.383686508803364e-14,497.2593606498105,-0.4255136744219829,-0.4241354468122215,102.60463158377618,3.168305748873249e-13,-3.98983037694114e-12,-2.0842194965785613e-13,9.998769543449366e-09,102.65268780843174,0.3767655071213643,0.3754010800253147,497.3147275812749,2.519164124147688e-14,9.99735514147459e-09,1.0000152280357624e-08,-1.4483720239027853e-12,-0.8688759913032781,382.7783348383813,382.8089780031621,0.7932837265734556
5,0.005,49625771262.62849,-47683930.76428806,10267413675.394997,45656528.87640583,49734422677.55141,19136437581.216103,9.999555400441364e-09,-4.97744085514234e-13,4.8467311822949995e-14,1.406909770614174e-13,496.2385640605134,-0.4635067121894508,-0.4620916811214691,102.66541870047648,2.84769282050002e-13,-4.291165493817515e-12,-4.64929433485815e-13,9.998895713879597e-09,102.68818190010695,0.3388417881785246,0.3374663214091507,497.29066896273866,2.0332132083054654e-13,9.997896069407729e-09,1.0000283585985136e-08,-1.7737524929604236e-12,-0.9135839728634356,382.6784317481189,382.7090470893722,0.7645969502397627
6,0.0259,48751813574.80891,-3441084.440171495,10233293809.65955,56579035.198205166,49702870649.653534,19009086170.021942,9.999588714510836e-09,-5.293569288943905e-13,-1.5746319707567505e-13,-4.8786331729053117e-14,487.4938520980544,-0.0482795653752598,-0.0469406228299049,102.30561312687846,-4.1370444054926913e-13,-4.7996417725980466e-12,-2.1505078855016282e-13,1.0000149596581569e-08,102.33467421079182,0.4505900521852871,0.4492721765353629,497.0355259032304,5.230143982867169e-13,9.997553980984323e-09,1.0000123310650863e-08,-2.0168069044890643e-12,-0.0722659485912024,380.12219734132105,380.1524380766903,0.9455015169500004
7,0.0625,47250736016.07466,26339012.62669305,10137241702.890688,69344723.72367689,49618843558.32069,18780531335.69737,1.0000144318952877e-08,-3.763279185770477e-13,1.4296972220607893e-13,7.020432819947378e-13,472.5167481971617,0.243274090123545,0.2435119637046838,101.38407988518986,2.517562428490702e-13,-4.141917908687505e-12,-2.738830169140126e-13,9.999397296980696e-09,101.40179694695448,0.5913354418954381,0.5898745945567019,496.165596744598,6.314805763474033e-13,9.997368241434135e-09,1.0000423206360309e-08,-7.31003922614194e-13,0.4974226292408152,375.5542348384571,375.5834956011777,1.23244608165738
8,0.1095,45326056280.64372,58101333.07700094,9964525895.06186,78135078.42480223,49474355987.57189,18470991774.31827,1.0000342796295244e-08,-3.286959600690851e-13,2.3744107747145392e-14,3.63207226689993e-13,453.2786108893397,0.5359007441993823,0.5359505792443409,99.65764442877322,2.4652315398095053e-13,1.0300039458634417e-12,-5.441375098244692e-13,1.000062379295514e-08,99.67131705818576,0.7385345615863788,0.7372760621258764,494.7781487810695,1.0037783139980792e-12,9.999184061559425e-09,9.999981640873238e-09,1.478976137430002e-12,1.1400709064330428,369.3903005713658,369.41858819325626,1.5373264030842857
9,0.1563,43335191979.96316,-8246092.988822469,9729477954.289995,79574494.24215788,49232761208.731865,18074216343.848164,9.999955782624217e-09,7.668108599353975e-13,-3.135755421370237e-13,7.03125759461587e-14,433.34814495981135,-0.0763788718521918,-0.076415942048478,97.28074302265443,-1.9069800274172242e-13,4.486073397177387e-12,1.4649565232897684e-13,1.0001728146962327e-08,97.3188747396104,0.8278750519585415,0.8269663061050183,492.4133985773257,3.610541780441495e-13,1.0003857585881393e-08,9.999945802457732e-09,2.911265354406216e-13,-0.1114863586138691,361.5396880405074,361.5671598574953,1.5504528105171484
10,0.1985,41413595786.93834,-52398653.58972286,9473981947.355494,72738795.6780702,48988284566.961845,17724053343.00043,9.999531562878657e-09,1.030912465965182e-12,-2.9477964202883493e-13,-1.231372496530279e-13,414.12086148888216,-0.485203858893596,-0.4855837470309173,94.71679009786556,4.5243771962364024e-13,5.177925338322386e-12,-4.877994897905199e-13,1.0002164678578564e-08,94.79596182778332,0.7655667530983135,0.7647242343571641,489.9877083801,-3.5652940315378553e-13,1.0003464000289425e-08,1.0000219474782774e-08,-2.1814164039492285e-13,-0.9718387110114992,354.5335685558485,354.55972840271227,1.403290987183125
11,0.239,39911288316.73339,-89847036.24100216,9254521444.030766,18778414.224688787,48711729517.94639,17395314842.923992,1.0000103844071644e-08,-2.710326445909854e-13,6.776860347640098e-14,-2.270953364514181e-13,399.1152976023649,-0.8313990850067352,-0.8276145036846266,92.54251330370704,-1.798714277087061e-13,2.823132871352261e-12,-3.595108139892727e-14,1.000196394093904e-08,92.54926463947255,0.2430097306565304,0.2431007608802705,487.2108546203866,7.837611840788934e-13,1.0000435564911574e-08,1.0000086260794269e-08,-3.1750071047976415e-13,-1.675690444843238,347.9044585104877,347.926423418271,0.3440890056694723
12,0.2801,38241079588.55184,-101738526.61052054,8970422287.053997,20235776.63563292,48323007658.9972,17029994698.042303,9.999955883576082e-09,2.900897491512765e-13,-1.5910183309642129e-13,1.947025007743779e-13,382.4103769456976,-0.9440471969981516,-0.94061788770789,89.68923536822396,1.4079826128392961e-13,-6.516780736156788e-13,-9.778196934213554e-13,1.0000545068072466e-08,89.73815790631231,0.1482179089719978,0.1484308734358563,483.2581216915351,-5.853588152398109e-14,1.0000933998171967e-08,1.000026844872912e-08,-2.208843838410729e-12,-1.942105490799032,340.609666473354,340.6309885860918,0.3100076516771672
13,0.3247,36396751846.15888,-98778090.75370628,8613501588.385288,66951635.93338702,47891527998.34362,16609544015.898676,9.999811391577126e-09,2.8129894933937377e-13,-4.978761120822478e-13,7.847867605471907e-14,363.95377190570895,-0.9272737022316484,-0.9238179045216358,86.11341103545786,-7.881327064728508e-13,-2.819225683075724e-13,4.708827908641336e-14,1.0000021373102893e-08,86.12041183782611,0.6046941656496572,0.6048522569379292,478.91694162228566,1.0338610135478443e-12,9.998671320018893e-09,9.99924096547375e-09,-6.235228339947392e-13,-1.8388986486551744,332.14553135449944,332.16688776572863,1.2615600816178585
14,0.3661,33843259128.83133,-173818554.86889815,8057102269.066988,25154070.854719147,47207138077.62423,16139723880.688292,9.99985677544604e-09,1.581183794728773e-13,-4.460491235616001e-13,5.741485689050335e-14,338.4350759332423,-1.627078369660997,-1.6242378967369042,80.59025567474662,9.203669704052184e-13,6.827929463269135e-14,3.024698652365871e-13,9.998834204938928e-09,80.58676670977196,0.2735094011482316,0.2736952914315009,472.01678944842376,5.307232676603165e-13,9.998980385631062e-09,9.999414352773973e-09,-7.489413215354904e-13,-3.2767013567758565,322.7584660968696,322.7787835293414,0.4211860537319522
15,0.4054,31701872996.554604,-163022497.59143513,7547627684.470382,130389847.51668456,46552483945.50675,15634558807.906317,1.0000056359662231e-08,1.730766219003781e-13,-3.317247726444019e-13,6.805649861586398e-13,317.0208141487177,-1.5323006468051836,-1.5298926352445246,75.49639471640278,3.794786765214664e-14,1.0627764547398528e-12,-3.3323558022285415e-13,1.000038248018578e-08,75.48275344719603,1.2427878812298885,1.2425763291425875,465.5478222160549,-7.233506449213277e-14,1.0001444466009091e-08,9.999796215961207e-09,3.295886752536277e-13,-3.0820024853664507,312.7004277257613,312.7209480756417,2.471948513457386
16,0.4953,19187536191.29644,267246404.9737701,3994699345.419529,788374756.5612062,43534453046.42962,12851833481.85369,1.0000073136169469e-08,3.04566409901278e-13,-3.849338342397645e-13,8.41167231150648e-13,191.87953496922336,2.5410553743832884,2.5412963894430933,39.96848448701819,7.34510413665432e-13,4.772379112508956e-12,2.4178790419113088e-14,1.0000127111904942e-08,39.97427958078995,7.518146773717023,7.519324818992931,435.3544285044726,-6.505041218153972e-13,1.0000730030713672e-08,9.999993780759033e-09,1.3547766932263498e-12,5.011005721804934,257.04290345660445,257.0561394106927,14.919819994371393
17,0.5079,18645116562.343548,151269205.07470113,3797340151.847518,708137341.6005416,43293083594.59143,12705771340.749603,9.998454699414363e-09,2.5322384499809654e-14,1.2424221672572313e-12,1.1000303791961553e-12,186.4266909527512,1.4887911692739384,1.4888299246102794,37.987591218075046,9.823168857997892e-13,4.150247887820756e-12,9.501174170839717e-13,1.0000131813670004e-08,38.02001375267605,6.752286406410357,6.753315325582134,432.9424439512154,4.146372714349973e-12,1.0001090481513902e-08,1.0007012819843862e-08,2.596543180470861e-12,2.9180703595098225,254.21548357976351,254.22847423852383,13.45831774173583
18,0.519,17892810789.62352,-21064105.78944167,3551010554.9487514,537063028.7582464,43030058162.176605,12466258816.01801,9.998561945055372e-09,1.1675328546459428e-13,1.3756659817921533e-12,8.320640631417264e-13,178.90723252076577,-0.1393739426453491,-0.1394782171316352,35.524057462636286,1.3860306693620372e-12,4.384749631885007e-12,1.8287175743998515e-12,1.0000557179253317e-08,35.56953178992149,5.157380742046815,5.15831755066856,430.32885019805474,4.026808642717901e-12,9.999974039747973e-09,1.0006298421415295e-08,2.6657947777429786e-12,-0.3301549534786491,249.40025989876992,249.4127359176568,10.23749025256744
