t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
1,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
2,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
3,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
4,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
5,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
6,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
7,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
8,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
9,0.0,49758776598.47845,8734120.782656506,10242045193.155603,-9137703.805630589,49759215076.04746,19182339568.571857,1.0000281033063126e-08,-2.277959259060498e-14,2.014010647581881e-12,-6.359715703766001e-13,497.6038379294968,0.1417665277330533,0.154020556295955,102.40101319917396,2.0466969556881441e-13,-1.406619941169531e-13,3.63839022048174e-13,9.999829244841911e-09,102.41957078508372,-0.0700817829692467,-0.0823346038750518,497.5771373242589,-8.67988906133599e-13,9.999657519053904e-09,9.998458236542049e-09,4.3834819303354573e-13,0.1165198880117547,383.6172902672819,383.6040301604471,-0.1496777256998312
