t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
1,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
2,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
3,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
4,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
5,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
6,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
7,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
8,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
9,0.0,49765155518.13476,-17139937.499468543,10235773734.549423,21955318.21497687,49760246737.62088,19213586879.76097,9.998664923747113e-09,1.0582941131538853e-12,-2.1602702395690257e-12,3.506993654781781e-12,497.5853624059192,-0.1761889505286677,-0.1864055850825333,102.50620955889796,2.6170024854656773e-14,5.509251834995241e-13,6.118701158507669e-13,9.997977163243626e-09,102.35072451131045,0.1962552946313945,0.2064751882878158,497.5377327350983,1.2736982500290072e-12,1.0000312738098585e-08,1.0002322732493841e-08,1.3228065719295245e-12,-0.275994522635909,384.32989628994,384.31493990403527,0.4935669516004923
